# wavelength intensity
1.007354651285332494e+02 4.000000000000000000e+00
1.016972446460160455e+02 2.666666666666666519e+00
1.026589663517632545e+02 3.333333333333333481e+00
1.036206302457751320e+02 5.333333333333333037e+00
1.045822363280515077e+02 3.000000000000000000e+00
1.055437845985922962e+02 4.333333333333333037e+00
1.065052750573976965e+02 3.333333333333333481e+00
1.074667077044676233e+02 1.666666666666666741e+00
1.084280825398019346e+02 5.666666666666666963e+00
1.093893995634009144e+02 1.000000000000000000e+00
1.103506587752644208e+02 3.000000000000000000e+00
1.113118601753923116e+02 2.666666666666666519e+00
1.122730037637848426e+02 4.000000000000000000e+00
1.132340895404418717e+02 2.333333333333333481e+00
1.141951175053634273e+02 2.333333333333333481e+00
1.151560876585493958e+02 1.000000000000000000e+00
1.161170000000000044e+02 3.333333333333333481e+00
1.170778545297151112e+02 1.333333333333333259e+00
1.180386512476946592e+02 3.333333333333333481e+00
1.189993901539388190e+02 2.666666666666666519e+00
1.199600712484474769e+02 4.000000000000000000e+00
1.209206945312205477e+02 3.666666666666666519e+00
1.218812600022582586e+02 3.000000000000000000e+00
1.228417676615604961e+02 1.000000000000000000e+00
1.238022175091271464e+02 1.333333333333333259e+00
1.247626095449584085e+02 2.000000000000000000e+00
1.257229437690541403e+02 4.000000000000000000e+00
1.266832201814144270e+02 4.000000000000000000e+00
1.276434387820392118e+02 1.000000000000000000e+00
1.286035995709285089e+02 1.666666666666666741e+00
1.295637025480823468e+02 3.666666666666666519e+00
1.305237477135007111e+02 2.333333333333333481e+00
1.314837350671835452e+02 5.000000000000000000e+00
1.324436646091309626e+02 6.666666666666666297e-01
1.334035363393427360e+02 1.333333333333333259e+00
1.343633502578192065e+02 4.333333333333333037e+00
1.353231063645602035e+02 4.333333333333333037e+00
1.362828046595655564e+02 2.333333333333333481e+00
1.372424451428356065e+02 3.333333333333333481e+00
1.382020278143701262e+02 6.666666666666666297e-01
1.391615526741690587e+02 3.333333333333333481e+00
1.401210197222326315e+02 3.000000000000000000e+00
1.410804289585607307e+02 6.666666666666666297e-01
1.420397803831533565e+02 1.666666666666666741e+00
1.429990739960103383e+02 1.333333333333333259e+00
1.439583097971320171e+02 2.333333333333333481e+00
1.449174877865181656e+02 1.333333333333333259e+00
1.458766079641687270e+02 4.000000000000000000e+00
1.468356703300839285e+02 2.000000000000000000e+00
1.477946748842636566e+02 2.333333333333333481e+00
1.487536216267077407e+02 2.000000000000000000e+00
1.497125105574165218e+02 1.000000000000000000e+00
1.506713416763898294e+02 2.333333333333333481e+00
1.516301149836274931e+02 3.666666666666666519e+00
1.525888304791297969e+02 2.666666666666666519e+00
1.535474881628966273e+02 1.666666666666666741e+00
1.545060880349279273e+02 2.000000000000000000e+00
1.554646300952237539e+02 1.333333333333333259e+00
1.564231143437840501e+02 1.666666666666666741e+00
1.573815407806089866e+02 1.000000000000000000e+00
1.583399094056983358e+02 0.000000000000000000e+00
1.592982202190522116e+02 3.333333333333333148e-01
1.602564732206706708e+02 1.333333333333333259e+00
1.612146684105536565e+02 2.000000000000000000e+00
1.621728057887010550e+02 1.000000000000000000e+00
1.631308853551130937e+02 1.666666666666666741e+00
1.640889071097895453e+02 1.666666666666666741e+00
1.650468710527305802e+02 1.000000000000000000e+00
1.660047771839361417e+02 1.666666666666666741e+00
1.669626255034062297e+02 2.666666666666666519e+00
1.679204160111407305e+02 6.666666666666666297e-01
1.688781487071398715e+02 1.000000000000000000e+00
1.698358235914035390e+02 2.000000000000000000e+00
1.707934406639315625e+02 1.000000000000000000e+00
1.717509999247242831e+02 2.666666666666666519e+00
1.727085013737814734e+02 6.666666666666666297e-01
1.736659450111031333e+02 2.000000000000000000e+00
1.746233308366893766e+02 0.000000000000000000e+00
1.755806588505401464e+02 0.000000000000000000e+00
1.765379290526552722e+02 2.666666666666666519e+00
1.774951414430350951e+02 1.666666666666666741e+00
1.784522960216793876e+02 0.000000000000000000e+00
1.794093927885882636e+02 2.333333333333333481e+00
1.803664317437614955e+02 3.333333333333333148e-01
1.813234128871993676e+02 1.000000000000000000e+00
1.822803362189017093e+02 3.000000000000000000e+00
1.832372017388685776e+02 1.666666666666666741e+00
1.841940094471000293e+02 6.666666666666666297e-01
1.851507593435958938e+02 0.000000000000000000e+00
1.861074514283563417e+02 1.000000000000000000e+00
1.870640857013812592e+02 6.666666666666666297e-01
1.880206621626707602e+02 2.333333333333333481e+00
1.889771808122247307e+02 2.000000000000000000e+00
1.899336416500432279e+02 3.333333333333333148e-01
1.908900446761263083e+02 0.000000000000000000e+00
1.918463898904738585e+02 3.333333333333333148e-01
1.928026772930858783e+02 1.000000000000000000e+00
1.937589068839624815e+02 6.666666666666666297e-01
1.947150786631036681e+02 0.000000000000000000e+00
1.956711926305091538e+02 6.666666666666666297e-01
1.966272487861793365e+02 6.666666666666666297e-01
1.975832471301140458e+02 6.666666666666666297e-01
1.985391876623131679e+02 2.333333333333333481e+00
1.994950703827768734e+02 6.666666666666666297e-01
2.004508952915051623e+02 2.666666666666666519e+00
2.014066623884978640e+02 1.666666666666666741e+00
2.023623716737550922e+02 0.000000000000000000e+00
2.033180231472769037e+02 1.000000000000000000e+00
2.042736168090631850e+02 6.666666666666666297e-01
2.052291526591139359e+02 6.666666666666666297e-01
2.061846306974293270e+02 3.333333333333333148e-01
2.071400509240091878e+02 3.333333333333333148e-01
2.080954133388535752e+02 6.666666666666666297e-01
2.090507179419624322e+02 6.666666666666666297e-01
2.100059647333358157e+02 3.333333333333333148e-01
2.109611537129737258e+02 0.000000000000000000e+00
2.119162848808761623e+02 0.000000000000000000e+00
2.128713582370431254e+02 1.333333333333333259e+00
2.138263737814746150e+02 3.333333333333333148e-01
2.147813315141706312e+02 0.000000000000000000e+00
2.157362314351311170e+02 1.000000000000000000e+00
2.166910735443561293e+02 0.000000000000000000e+00
2.176458578418457250e+02 0.000000000000000000e+00
2.186005843275997904e+02 1.000000000000000000e+00
2.195552530016183823e+02 0.000000000000000000e+00
2.205098638639015576e+02 0.000000000000000000e+00
2.214644169144491457e+02 8.666666666666666075e+00
2.224189121532612603e+02 2.000000000000000000e+00
2.233733495803379583e+02 1.333333333333333259e+00
2.243277291956791260e+02 4.666666666666666963e+00
2.252820509992848201e+02 4.333333333333333037e+00
2.262363149911550408e+02 4.333333333333333037e+00
2.271905211712897881e+02 3.666666666666666519e+00
2.281446695396891187e+02 4.333333333333333037e+00
2.290987600963528621e+02 5.666666666666666963e+00
2.300527928412811320e+02 5.666666666666666963e+00
2.310067677744739854e+02 5.666666666666666963e+00
2.319606848959313083e+02 4.333333333333333037e+00
2.329145442056532147e+02 4.666666666666666963e+00
2.338683457036395907e+02 3.333333333333333481e+00
2.348220893898904365e+02 4.666666666666666963e+00
2.357757752644058655e+02 6.000000000000000000e+00
2.367294033271857643e+02 3.000000000000000000e+00
2.376829735782301896e+02 1.333333333333333259e+00
2.386364860175391982e+02 4.333333333333333037e+00
2.395899406451126765e+02 3.000000000000000000e+00
2.405433374609507382e+02 1.666666666666666741e+00
2.414966764650532696e+02 4.000000000000000000e+00
2.424499576574202706e+02 4.000000000000000000e+00
2.434031810380518550e+02 3.333333333333333481e+00
2.443563466069479659e+02 3.666666666666666519e+00
2.453094543641085465e+02 2.666666666666666519e+00
2.462625043095336537e+02 2.333333333333333481e+00
2.472154964432232873e+02 2.666666666666666519e+00
2.481684307651773906e+02 5.333333333333333037e+00
2.491213072753960773e+02 4.333333333333333037e+00
2.500741259738792337e+02 6.666666666666666297e-01
2.510268868606269734e+02 5.000000000000000000e+00
2.519795899356392397e+02 2.000000000000000000e+00
2.529322351989160325e+02 4.666666666666666963e+00
2.538848226504572381e+02 4.000000000000000000e+00
2.548373522902630270e+02 4.000000000000000000e+00
2.557898241183333994e+02 2.333333333333333481e+00
2.567422381346681846e+02 5.000000000000000000e+00
2.576945943392675531e+02 4.666666666666666963e+00
2.586468927321314482e+02 2.333333333333333481e+00
2.595991333132598129e+02 4.333333333333333037e+00
2.605513160826527042e+02 1.666666666666666741e+00
2.615034410403100651e+02 1.666666666666666741e+00
2.624555081862320094e+02 3.000000000000000000e+00
2.634075175204185371e+02 5.000000000000000000e+00
2.643594690428694776e+02 4.000000000000000000e+00
2.653113627535850014e+02 3.000000000000000000e+00
2.662631986525649950e+02 4.000000000000000000e+00
2.672149767398095150e+02 1.666666666666666741e+00
2.681666970153186185e+02 5.333333333333333037e+00
2.691183594790921916e+02 6.666666666666666297e-01
2.700699641311302344e+02 4.000000000000000000e+00
2.710215109714329174e+02 1.666666666666666741e+00
2.719730000000000132e+02 3.000000000000000000e+00
2.729244312168315787e+02 2.666666666666666519e+00
2.738758046219277844e+02 4.666666666666666963e+00
2.748271202152884598e+02 4.000000000000000000e+00
2.757783779969136617e+02 1.000000000000000000e+00
2.767295779668033333e+02 2.333333333333333481e+00
2.776807201249576451e+02 2.000000000000000000e+00
2.786318044713763697e+02 2.000000000000000000e+00
2.795828310060596209e+02 2.333333333333333481e+00
2.805337997290074554e+02 2.000000000000000000e+00
2.814847106402197596e+02 4.333333333333333037e+00
2.824355637396965903e+02 1.333333333333333259e+00
2.833863590274380044e+02 3.333333333333333481e+00
2.843370965034438314e+02 2.000000000000000000e+00
2.852877761677142416e+02 2.666666666666666519e+00
2.862383980202491216e+02 4.000000000000000000e+00
2.871889620610485281e+02 1.000000000000000000e+00
2.881394682901125179e+02 3.666666666666666519e+00
2.890899167074409775e+02 1.333333333333333259e+00
2.900403073130339067e+02 6.666666666666666297e-01
2.909906401068914761e+02 1.000000000000000000e+00
2.919409150890134583e+02 3.666666666666666519e+00
2.928911322594000808e+02 6.666666666666666297e-01
2.938412916180511161e+02 6.666666666666666297e-01
2.947913931649666779e+02 3.666666666666666519e+00
2.957414369001468231e+02 1.000000000000000000e+00
2.966914228235913811e+02 6.666666666666666297e-01
2.976413509353005225e+02 3.333333333333333148e-01
2.985912212352741903e+02 2.000000000000000000e+00
2.995410337235123279e+02 1.333333333333333259e+00
3.004907884000150489e+02 6.666666666666666297e-01
3.014404852647822395e+02 2.000000000000000000e+00
3.023901243178139566e+02 1.666666666666666741e+00
3.033397055591102003e+02 2.666666666666666519e+00
3.042892289886710273e+02 4.333333333333333037e+00
3.052386946064962672e+02 3.000000000000000000e+00
3.061881024125860336e+02 1.000000000000000000e+00
3.071374524069403833e+02 1.333333333333333259e+00
3.080867445895592596e+02 1.666666666666666741e+00
3.090359789604426055e+02 2.333333333333333481e+00
3.099851555195904780e+02 1.666666666666666741e+00
3.109342742670028201e+02 1.333333333333333259e+00
3.118833352026797456e+02 0.000000000000000000e+00
3.128323383266211977e+02 1.333333333333333259e+00
