wavelength_nm,c5,c4,c3,c2,c1,c0
4.660219500000000039e+02,1.269038422871727519e-25,-6.302594039826451451e-23,8.435462609286092792e-21,5.758715403838908819e-20,-5.733605473329532921e-17,1.570796326794893671e+00
4.662377816623400122e+02,-1.446574310341765612e-10,9.323941387833837967e-08,-2.002951853364844399e-05,1.602242197521418525e-03,6.956984514568068101e-02,2.232403790807502730e+00
4.664535966493599517e+02,1.410632617653258468e-10,-8.729574544922747491e-08,1.895535107729833698e-05,-1.508662117246710628e-03,1.246029273403378990e-01,2.696885266725120189e+00
4.666693949610599930e+02,5.908122746200140883e-11,-3.199749226396997295e-08,5.755942325645727448e-06,-2.916940398481544555e-04,1.013859460669289808e-01,3.817225798427057448e+00
4.668851765974400223e+02,6.963350972512385945e-12,-5.424739061004120310e-09,3.271633968221508561e-06,-7.202846003976277368e-04,1.424553476946693875e-01,1.430266241839696972e+00
4.671009415585000397e+02,-5.317759607980984208e-12,1.141068668133684972e-08,-5.375693143093215396e-06,9.799221022052978687e-04,5.704612862109406657e-02,3.263700316450996564e+00
4.673166898442399884e+02,3.066246687894575609e-10,-1.979069382802285025e-07,4.612243129954912474e-05,-4.723640205523490024e-03,3.155185521909615320e-01,1.607654093244346438e-01
4.675324214546599819e+02,2.387459514938135115e-10,-1.544106868752502530e-07,3.661826499190392253e-05,-3.759571522083309924e-03,2.571873331138227470e-01,2.624682114034423974e-01
4.677481363897600204e+02,1.763824315517274041e-10,-1.031581622939181514e-07,2.052606498625553937e-05,-1.640840304062929746e-03,1.792424232491001412e-01,2.719367124034961058e+00
4.679638346495399901e+02,3.896513646124168979e-10,-2.384067442168616597e-07,5.188478696042839552e-05,-4.822510726777804943e-03,2.784848179583730432e-01,7.779442594732172145e-01
4.681795162339999479e+02,1.937648049973626507e-10,-1.212651461347687598e-07,2.695184747209721849e-05,-2.517865419525349129e-03,2.114432681240979994e-01,2.583282054402628702e+00
4.683951811431400074e+02,2.809328734395483490e-10,-1.796947191289818710e-07,4.083867225544416020e-05,-3.964168468014970213e-03,2.732116470322316637e-01,-7.074849199495564234e-01
4.686108293769599982e+02,1.649913920965374504e-10,-1.123640652025580664e-07,2.781849344997082594e-05,-3.129789365041744671e-03,2.722505166838469770e-01,-6.800253004759574393e-01
4.688264609354600339e+02,-3.668190105916271846e-11,3.801835069092653773e-08,-1.148068193259757935e-05,1.122632188513450003e-03,1.049387721434793252e-01,2.764845046849940591e+00
4.690420758186400008e+02,-1.286031348772108356e-10,8.343617086803456148e-08,-1.769048789167612084e-05,1.233361758904234252e-03,1.078372571458033752e-01,1.412204963181335204e-01
4.692576740265000126e+02,1.844511413552441651e-10,-1.182267358593871697e-07,2.762819510717325652e-05,-2.823859291483574868e-03,2.233988179810474928e-01,-2.289192689714139306e-01
4.694732555590400125e+02,1.998765843773192164e-10,-1.191215777965816536e-07,2.482610885010641096e-05,-2.164005700197380640e-03,1.935359319479375839e-01,4.375315162762349885e+00
4.696888204162600005e+02,3.892552445995813787e-10,-2.572500484608703282e-07,6.073240156647137359e-05,-6.104488461733106539e-03,3.521195687278669273e-01,9.019526400741262329e-01
4.699043685981599765e+02,4.156083727118357987e-10,-2.633317292907322948e-07,5.864462141262634891e-05,-5.334332897904140586e-03,2.803494121260710070e-01,2.637816541029086359e+00
4.701199001047399975e+02,3.626522651210467076e-10,-2.189273979598855784e-07,4.603559902223477827e-05,-4.064236388275268425e-03,2.688183143435424749e-01,2.816526979572623546e+00
4.703354149360000065e+02,3.068160851636859782e-10,-1.915604662025527877e-07,4.291084365515105022e-05,-4.256518037263955744e-03,3.123782096047031387e-01,1.165663667330651077e+00
4.705509130919400036e+02,1.978606742734038885e-11,-1.090243533696941679e-08,2.625178510961065235e-06,-4.335078138781177544e-04,1.696629206360110720e-01,2.913415074346142219e+00
4.707663945725599888e+02,4.461770788390994425e-10,-2.878422107847120068e-07,6.707759373356648428e-05,-6.827905464331538929e-03,4.036050924405599205e-01,-1.116243047077377870e+00
4.709818593778599620e+02,5.186761568839948829e-10,-3.341348333978000209e-07,7.648545621465041838e-05,-7.393547162656948987e-03,3.861125643260123752e-01,6.014974673888460188e-01
4.711973075078399802e+02,1.495914932076036960e-10,-8.848151969362399115e-08,1.797633881351288208e-05,-1.493203356679708577e-03,1.703819759544767942e-01,4.095714255536821113e+00
4.714127389625000433e+02,5.219524907759613507e-10,-3.348480560975060386e-07,7.612458354555071236e-05,-7.268616108676992198e-03,3.744873009881324877e-01,7.422499610884236709e-01
4.716281537418399807e+02,3.669807951471206723e-10,-2.345643150214514135e-07,5.451161461230834716e-05,-5.610513288461072869e-03,3.362738058444157407e-01,8.732189682644940776e-01
4.718435518458599631e+02,5.556656633677545122e-10,-3.616376809957756941e-07,8.365201578573265692e-05,-8.129896369504502687e-03,4.107674180006563036e-01,1.647755446198188312e-01
4.720589332745599904e+02,5.008308248352725342e-10,-3.171253660415402494e-07,7.087081830159395665e-05,-6.586241537797580398e-03,3.344630388737436233e-01,1.609816886657673418e+00
4.722742980279400058e+02,6.322094597167761553e-10,-4.055683429605562391e-07,9.320970068000878673e-05,-9.153604019775789594e-03,4.662621528139530569e-01,-8.791283542915623306e-01
4.724896461059999524e+02,4.107992727028799354e-10,-2.639229589678345959e-07,6.087276260968655023e-05,-6.140159252951456724e-03,3.798551145194552503e-01,-1.631652460441395558e+00
4.727049775087400008e+02,4.863718282076251691e-10,-3.137417418537755062e-07,7.152837721614544212e-05,-6.817160714313237960e-03,3.545415997007941855e-01,9.869014985732551537e-01
4.729202922361599803e+02,5.667554445778182762e-11,-2.386384134557149605e-08,1.068078332045104667e-06,5.504753139380845440e-04,5.853410457452998261e-02,5.936311659825057596e+00
4.731355902882600049e+02,2.565460438704019682e-10,-1.624551041844291038e-07,3.484700679362609353e-05,-2.832887376272951244e-03,1.719199428986573630e-01,3.180120462600573461e+00
4.733508716650399606e+02,3.868517797729529651e-10,-2.391785676354017569e-07,5.113791130710658136e-05,-4.240136828768418728e-03,2.053983597555775753e-01,3.856119085400813606e+00
4.735661363665000181e+02,4.805852919398508261e-10,-3.121973035223777258e-07,7.239715854715324857e-05,-7.141429022022216001e-03,3.866887324379184032e-01,-1.695368399094867029e-01
4.737813843926400068e+02,3.563838968110870785e-10,-2.238838022361734499e-07,4.858867322194222640e-05,-4.130612980024124872e-03,2.113822410094779169e-01,3.482459377519719457e+00
4.739966157434600404e+02,2.862474125494428820e-10,-1.876152985093865018e-07,4.305192541659891341e-05,-4.102275162281710484e-03,2.610238691026117164e-01,1.079757322559863786e+00
4.742118304189599485e+02,3.361861370780838762e-10,-2.241371022486932309e-07,5.354795566305468722e-05,-5.573718740842291235e-03,3.612478247759046135e-01,-1.544432172384941238e+00
4.744270284191400151e+02,2.439828989778000429e-10,-1.538051095878705031e-07,3.592682088499370900e-05,-3.740221339069764624e-03,2.512526665893007327e-01,1.547235418541983654e+00
4.746422097440000130e+02,2.931858590483684218e-10,-1.873594992761385780e-07,4.220100709020591599e-05,-4.014039696302503131e-03,2.674781301892472096e-01,4.626741119375773481e-01
4.748573743935399989e+02,2.856696025793329739e-10,-1.817486636838244852e-07,3.981450359423210634e-05,-3.449326167039679352e-03,2.035393837987863053e-01,3.170122848498345913e+00
